Medicine Name,Active Ingredient,Alternatives,Pharmacology
Dilatrol,carvedilol,CO-DILATROL 30 TAB.,"About Hydrochlorothiazide; Thiazide derivatibve, Diuretic.; Mechanism of Action of Hydrochlorothiazide; It is thiazide diuretic which exerts its action by acting at site-3(central dilating segment of early distal tubule). It binds to Na+Cl- symporter and inhibits Na+Cl- symport at the luminal membrane. It has additional carbonic anhydrase inhibitory actions in proximal tubules. It increases natriuresis, kaliuresis and diuresis. It decreases Ca2+ excretion and increases Mg2+excretion. It also has minor carbonic anhydrase inhibitory action. It also causes direct arteriolar vasodilatation and decreases total peripheral resistance. The antihypertensive actions of the drug may be attributable to depletion of sodium and subsequent reduction in plasma volume and a decrease in peripheral resistance. Decrease in peripheral resistance is due to either the loss of sodium from the arteriolar wall or a direct action on the vascular bed. It is an effective drug in edema associated with congestive he"
Aerius,desloratadine,SKIVALORINE 2.5mg/5ml 100ml syrup; ENDSTAMINE 2.5mg/5ml syp. 120 ML; FERNILAR 0.5mg/ml 1ml syrup; SILISTARKISH 2.5mg/5ml syp. 120 ML; NOUVONASE 5 MG 10 TAB.; SILISTARKISH 5 mg 20 F.C. TABS.; DESLORAT 0.5mg/ml 100ml syrup; LORAFAST 2.5mg/5ml syp. 100 ML; ORDESCA 2.5mg/5ml syp. 120 ML; STIMLORIC 2.5mg/5ml 100ml syrup; TENDRATINE 25mg/5ml 100ml syrup; DESLOREX 5mg 10 tabs.; DESLOREX 50mg/100ml 120ml syrup; EMBANODEX 0.5mg/ML syrup 100 ML; HYGI-TADINE 5 mg f.c. tabs.; ALERGAWAY 50mg/100ML SYRUP; DELORA-STOP 0.5mg/mlL 90ml syrup; HYGI-TADINE 120ml syrup; DESA 2.5mg/5ml 100ml syrup; DESLORASTAMINE 0.5mg/ml 120ml syrup; ORDESCA 5mg 20 F.C. TABS.; D-CLAR 5mg 10 orally disintegerating tablets; FERNILAR 5mg 20 F.C.tab.; DELAREX 5mg 20 F.C.tab.; DESLORAT 5mg 20 F.C. Tab.; STIMLORIC 5mg 20 F.C.tab.; DESA 5mg 20 F.C.tab.; DELORA-STOP 5mg 15 Dis.tabs.; ALERGAWAY 5 mg 20 oral disinteg. tabs.; AERIUS 5mg 20 F.C.tab.,"About Desloratadine; Second Generation long-acting tricyclic H1 Antagonist, Antihistamine.; ; Mechanism of Action of Desloratadine; This second generation antihistamine has a selective peripheral H1-antagonist action.Desloratadine competes with free histamine for binding at H1-receptors in the GI tract, uterus, large blood vessels, and bronchial smooth muscle. This inhibit the action of histamine, which subsequently leads to temporary relief of the negative symptoms brought by histamine; ; Indications for Desloratadine; 1. Hay fever; 2. Watery eyes; 3. Runny nose; 4. Itching eyes; 5. Sneezing; 6. Hives; 7. Decongestant; ; Typical Dosage for Desloratadine; ; Adult (general dose)- 5mg/day; Children (>12yrs)-Same as adult"
Selokenzoc,metoprolol tartrate,LOW PRESS 100mg 20 tab.; BETALOC 100mg 20 tab.; CARDITAG XL 200 mg SR 20 f.c.tabs.; SELOKENZOC 50 MG 28 PROLONGED REL. TABS.; SELOKENZOC 25 MG 28 PROLONGED REL. TABS.; SELOKENZOC 100 MG 28 PROLONGED REL. TABS.; SELOKENZOC 200 MG 28 PROLONGED REL. TABS.,"Description; Metoprolol is a cardioselective beta1-adrenergic blocking agent used for acute myocardial infarction (MI), heart failure, angina pectoris and mild to moderate hypertension. It may also be used for supraventricular and tachyarrhythmias and prophylaxis for migraine headaches. Metoprolol is structurally similar to bisoprolol, acebutolol and atenolol in that it has two substituents in the para position of the benzene ring. The beta1-selectivity of these agents is thought to be due in part to the large substituents in the para position. At low doses, metoprolol selectively blocks cardiac beta1-adrenergic receptors with little activity against beta2-adrenergic receptors of the lungs and vascular smooth muscle. Receptor selectivity decreases with higher doses. Unlike propranolol and pindolol, metoprolol does not exhibit membrane-stabilizing or intrinsic sympathomimetic activity."
Eliquis,apixaban,APEXAWESTAN 2.5 MG 10 F.C. TABS.; ELIMBOSIS 2.5 MG 10 F.C. TABS.; ELIMBOSIS 5 MG 10 F.C. TABS.; APIXATRACK 2.5 MG 10 F.C. TABS.; PIXASPIRE 2.5 MG 10 F.C. TABS.; IKSARONT 2.5 MG 30 F.C. TABS.; ELIQUIS 2.5 MG 20 F.C. TABS.; ELIQUIS 5 MG 20 F.C. TABS.; ARTIXIBAN 2.5 MG 30 F.C. TABS.,Apixaban is an anticoagulant for the treatment of venous thromboembolic events. It is taken by mouth. It is a direct factor Xa inhibitor.; Apixaban was approved in the U.S. in 2014 for treatment and secondary prophylaxis of deep vein thrombosis (DVT) and pulmonary embolism (PE).; ; Apixaban is indicated for the following:; *To lower the risk of stroke and embolism in patients with nonvalvular atrial fibrillation.; *Deep vein thrombosis (DVT) prophylaxis. DVT s may lead to pulmonary embolism (PE) in knee or hip replacement surgery patients.; *Treatment of both DVT and PE.; *To reduce the risk of recurring DVT and PE after initial therapy.
Tiralepsy XR,levetiracetam,RIMSTILACETAM 250 mg 10f.c.tab.; LEVECTAM 250 mg 10 F.C. TABS.; FUTATREAT 500mg 10 F.C. tab.; KEPILEPSY 500mg 10 F.C.tab.; KEPILEPSY 250 mg 10 F.C. tabs.; KEPRADIL 100mg/ml oral soln.; FUTATREAT 750mg 10 F.C. tab.; SYCOCETAM 500 mg f.c. tabs.; LEVEPSY 500 MG 10 SCORED F.C. TAB; TRINOVUME 500mg f.c. tabs.; KEPILEPSY 750 mg 10 F.C. tabs.; KEPRADIL 1000mg f.c. tabs.; TRINOVUME 750mg 10f.c.tab.; KEPILEPSY 10gm/100ml oral soln.; LEVECTAM 100mg/ml 120ml syrup; LEVEPEX 100mg/ml 100ml syrup; KEPILEPSY 1000mg 10 F.C.tab.; SYCOCETAM 100mg/ml oral soln.; LEVECTAM 1000 mg 10 F.C. TABS.; TIRALEPSY 100MG/ML ORAL SOL. 120 ML; SEIZURLESS 100mg/ml oral solution; FUTATREAT 250mg 20 F.C. tab.; TIRATAM 100mg/ml oral solution 120 ML; TIRATAM 750mg 20 F.C. Tab.; TIRATAM 500mg/5ML IV 5 VIAL; TIRATAM XR 500mg 20 F.C. Tab.; KEPRADIL 500mg 30 F.C. tabs.; TIRATAM 500mg 20 F.C. Tab.; TIRALEPSY 250mg 30 F.C.tab.; TIRATAM 1000mg 20 F.C. Tab.; TIRALEPSY 500mg 30 F.C.tab.; LEVEPEX 500mg 30 f.c. tab.; TIRALEPSY XR 500mg 20 F.C.tab.; SEIZURLESS 500mg 30 F.C. tab.; KEPPRA 250mg 30 F.C. Tab.; TIRALEPSY XR 750mg 20 F.C.tab.; KALOPRATAM XR 750mg 30 EXTENDED F.C. tabs.; KEPRADIL XR 750mg 30 EXTENDED F.C. tabs.; LEVEPEX 750mg 30 f.c. tab; TIRALEPSY 1000mg 20 f.c.tab.; LEVEPEX 1000 mg 30 f.c. tab.; KEPPRA 500mg 30 F.C. Tab.; KEPPRA 1000mg 30 F.C. Tab.; KEPPRA 100mg/ml oral solution 300 ML,"About Levetiracetam; It is S-enantiomer of etiracetam. Anticonvulsant medication used to treat epilepsy.; ; Mechanism of Action of Levetiracetam; The exact mechanism for levetiracetam is unknown. However, the drug binds to a synaptic vesicle protein, SV2A, which is believed to impede nerve conduction across synapses.; ; Indications for Levetiracetam; 1.Anticonvulsant.; 2.Neuropathic pain.; 3.Tourette syndrome, autism, and anxiety disorder.; ; Side Effects of Levetiracetam; 1. Hair loss; 2. Anxiety; 3. Depression; 4. Headache; 5. Nausea.; ; Typical Dosage for Levetiracetam; It is usually taken twice a day, once in the morning and once at night, with or without food."
Topamax,topiramate,TOPNOTCH 25mg 10 F.C. TABS.; EPIMATE 25mg 10 CAPS.; SPRINKAZEN 25MG SPRINKLE HARD GELATIN 10CAPS.; SPRINKAZEN 100mg 10f.c.tab.; SPRINKAZEN 50MG SPRINKLE 10 HARD GELATIN CAPS.; NANCYDAL 25mg 10 F.C. TABS.; EPIMATE 100mg 10 CAPS.; SPRINKAZEN 200mg f.c. 10tab.; EPIMATE 200mg 10 CAPS.; TOPILEPT 25 mg 30 F.C.tab.; CONVIBAN 25mg 30 F.C. tabs; TOPILEPT 100mg 30 F.C.tab.; TOPIRAMATE 200mg 10f.c.tab.; TOPIRAMATE 100 mg 10 scored f.c.tab.; CONVIBAN 100mg 20 scored F.C. tabs.; CONVIBAN 50mg 30 F.C. tabs; TOPIRAMATE 25mg 30 F.c.tab.; DELPIRAMATE 100mg 30 F.C.tab.; TOPAMAX 15 MG SPRINKLE 60 CAPS.; TOPAMAX 25mg 60 F.C. TAB; TOPAMAX 50 MG SPRINKLE 60 CAPS.; TOPAMAX 100mg 60 f.c.tab.,"A sulfamate-substituted monosaccharide, Carbonic anhydrase inhibitor, Anticonvulsant,antimigraine.; ; You may swallow this medication whole, or you may open the capsule and sprinkle the contents on a teaspoonful of soft food (such as applesauce, yogurt). Swallow the drug/food mixture right away. Do not chew the mixture. Do not prepare the mixture ahead of time for later use.; ; Mechanism of Action of Topiramate; Topiramate acts on the motor cortex where it stabilizes neuronal membrane and inhibits the spread of seizure discharge. It prolongs the inactivated state of voltage sensitive neuronal sodium ion channel either by increasing the efflux or decreasing the influx of sodium ion across the cell membrane and inhibits the high frequency neuronal discharge. It enhances the inhibitory neurotransmitter GABA and inhibits the excitatory glutamate receptors. Topiramate is also used in migraine prophylaxis.; Topiramate also has weak carbonic anhydrase inhibitory activity."
Galvus,vildagliptin,GLUVILDAN 50 mg 10 tab.; SUGARLO 50 MG 10 TABS.; DIBAVALLY 50 mg 14 TABS.; ICANDRA 50 mg 30 tab.; GLIPTUS 50 MG 30 TABS.; VILDAGLUSE 50 mg 30 TABS.; VILGAT 50 mg 30 TABS.; GALVUS 50 mg 28 tab.,2993
Trileptal,oxcarbazepine,OXATRILEPAZINE 600 mg 10 F.C.tab; ANDOXEZINE 150 mg 30 F.C. tabs.; SHORSALIN 150 mg 30 F.C. tabs.; ANDOXEZINE 300 mg 30 F.C. TABS.; SHORSALIN 300 mg 30 F.C.tab; OXALEPTAL 60MG/ML oral 100ml susp.; SHORSALIN 600 mg 30 F.C. tabs.; OXALEPTAL 300 mg 30 F.C. tabs.; OXIGREX 300mg 30 F.C.tab.; TRILEPTAL 150mg 50f.c.tab.; TRILEPTAL 60mg/ml oral 100ml susp.; OXALEPTAL 600mg 30 F.C. TABS.; OXATRILEPAZINE 300 mg 60 F.C.tab; TRILEPTAL 300mg 50 F.C.tab.; TRILEPTAL 600mg 50 F.C. Tab.,"About Oxcarbazepine; Carboxamide derivative,iminostilbenes, Anticonvulsant, mood stabilizing agent.SMechanism of Action of Oxcarbazepine; Oxcarbazepine prolongs the inactivated state of voltage sensitive neuronal sodium ion channel either by increasing the efflux or by decreasing the influx of sodium ion across the cell membrane and inhibits the high frequency discharge. SIt blocks the repetitive impulses that trigger seizures and it stabilizes the neuronal membrane. In addition it increases the potassium conductance and modulates the high voltage activated calcium channels. These also produce anticonvulsant effect. SIndications for OxcarbazepineS1. Treatment of partial seizureSInteractions for OxcarbazepineSPhenytoin: Oxcarbazepine with phenytoin / phenobarbitol can increase their levels by 40% / 15%. SOral contraceptive: Efficacy of oral contraceptives, specially those containing ethinyl estradiol & levonorgestrol, can be reduced. S"
Nevilob,nebivolol hydrochloride,NEBIMOUN 2.5mg 10f.c.tab.; NEBIMOUN 5mg 10f.c.tab.; MODULOL 5mg 14 tab.; NEBIMOUN 10mg 10f.c.tab.; NEPVOL 10mg 10 TABS.; NEVILOB 2.5mg 14 tab.; NEVILOB 5mg 14 tab.; NEBASCO 5 MG 20 TABS.; NEBICARD 5mg 14 tab.; NEBILET 5mg 14 tab.; MAVILOR 5mg 30 tab.; SYMBIAN 5mg 30 tab.,"About Nebivolol; Third generation cardio selective beta-1 receptor antagonist, Antihypertensive.; Mechanism of Action of Nebivolol; Nebivolol is a 3rd generation cardio selective beta-1 receptor antagonist which reduces vascular resistance, acutely lowers arterial blood pressure without depressing left ventricular function and exerts anti hypertensive effects. The drug causes coronary vasodilatation and improves myocardial ischaemia through nitric oxide release.; Indications for Nebivolol; 1.Hypertension; Typical Dosage for Nebivolol; 5mg once daily; Patients above 65years of age: Starts with 2.5mg and increases to 5mg based on patient`s response; Renal impairment: Starts with 2.5mg and increases to 5mg based on patient`s response"
Rositor,rosuvastatin,EPIROVASTIN 10mg 7 SCORED F.C. Tab; PENTASTATIN 5 mg 7f.c.tabs.; EPIROVASTIN 20mg 7 F.C. Tab; FROSITOR 5 mg 10 F.C. TABS.; ROSUMOP 10mg 14 F.C. TABS.; CRESTATIN 10 mg 10 F.C. Tabs.; LIPOREGISTATE 5mg 14 F.C. tabs.; NOVISTORIC 10mg 14 F.C. tab.; ROSUMOP 20mg 14 F.C. TABS.; ROSUVASTATIN 10mg 10 F.C. tab.; ROSUVASTATIN 20mg 14 F.C. tab.; CEMICRESTO 10 mg 14 F.C. tabs.; JUSTECHOL 20mg 7 F.C. TABS.; CHOLEROSE 5 mg 14 F.C.tab.; ROSITOR 10mg 14 F.C.tab; JUSTECHOL 5 MG 21 F.C. TABS.; BEMASTRIM 10 mg 7 F.C. Tab.; CRESTOR 5mg 7 F.C. tab.; JUSTECHOL 10 mg 14 F.C. TABS.; FROSITOR 10 mg 10 F.C. TABS.; CEMICRESTO 20 mg 14 F.C. tabs.; DECONADAL 10 mg 21 F.C. tabs.; ROSITOR 20mg 14 F.C.tab; ROSUVAST 5mg 14 F.C. TABS.; NOVISTORIC 20mg 14 F.C. tab.; DECONADAL 20 mg 14 F.C. tabs.; STATIROSE 20mg 10 tab.; VASTASIERO 10mg 20 F.C. TABS.; ADVOCHOL 10mg 14 F.C. TABS.; CHOLEROSE 10 mg 21 F.C.tab.; JUSTECHOL 20mg 14 F.C. TABS.; ROSUVAST 10mg 14 F.C.tab; MEROSATIN 10mg 14 F.C.tab.; ESTERO-MAP 10mg 20 F.C.tab.; VASTASIERO 20mg 20 F.C. TABS.; CHOLEROSE 20mg 21 F.C. tabs.; ESTERO-MAP 20mg 20 F.C. Tab.; ROSUVAST 20 mg 14 F.C.tab.; SUVIKAN 10mg 14 F.C.tab.; CRESTOLIP 10mg 30 F.C. tabs.; SUVIKAN 20mg 14 F.C. Tab.; ADVOCHOL 10mg 28 F.C. TABS.; CRESTOLIP 20mg 30 f.c.tab.; JUSTECHOL 20mg 28 F.C. TABS.; CRESTOR 20mg 14 F.C.tab.; CRESTOR 10mg 28 F.C.tab.,"About Rosuvastatin; Statin, HMG-CoA Reductase Inhibitor, Antilipemic.; Mechanism of Action of Rosuvastatin; It is a hypolipidaemic statin which competitively inhibits the conversion of 3-hydroxy-3-methyl glutaryl coenzyme A (HMG CoA) to mevalonate. The drug exerts it`s action by specific inhibition of enzyme- 3-hydroxy-3-methyl glutaryl coenzyme A reductase (HMG CoA reductase) and reduces cholesterol synthesis up to 50% at therapeutic doses. This results in compensatory increase in low density lipoprotein (LDL) receptor expression in liver which ultimately leads to increased receptor mediated uptake and catabolism of intermediate density lipoprotein(IDL) and low density lipoprotein (LDL). It causes dose dependent lowering of LDL cholesterol and reduces hepatic synthesis of very low density lipoprotein (VLDL) and lowers plasma triglyceride levels. It also increases high density lipoprotein (HDL) levels."
Fawar Fruit,citric acid,SEPCOFRUIT sachets; EFFRUTI EFFERVESCENT SALT 12sachets; EPINOS FRUIT 6 EFF. SALT sachet; EPINOS PINEAPPLE 6 EFF. SALT 6sachet; PHAROCOLA eff. gr. 6 sachets; XENOS FRUIT 6 sachets; FAWAR COLA 6 sachets; FAWAR LEMON 6 sachets; FAWAR FRUIT 6 sachets; PHAROFRUIT eff. gr. 6 sachets; EPINOS PINEAPPLE 60 EFF. SALT sachet; FAWAR FRUIT 60 SACHETS; PHAROCOLA eff. granules 60 sachets; PHAROFRUIT eff. gr. 60 sachets,"INTERACTIONS:; Antacids; Concurrent use of antacids with citrates may result in systemic alkalosis.; Concomitant administration of antacids with sodium citrate and sodium bicarbonate may promote the development of calcium stones in patients with uric acid stones and may also cause hypernatraemia.; Concurrent use of aluminium-containing antacids with citrate salts can increase aluminium absorption, possibly resulting in acute aluminium toxicity, especially in patients with renal insufficiency.; Quinolones; Citrates may reduce the solubility of ciprofloxacin, norfloxacin, or ofloxacin in the urine. Patients should be observed for signs of crystalluria and nephrotoxicity.; Salicylates"
Dexaphen,chlorpheniramine,APIDONE 125ml syrup; DEXAPHEN 120ml syrup; PHENADONE SYRUP 125 ML; VENDEXINE 125ml syrup,"DEXAMETHASONE; Description; An anti-inflammatory 9-fluoro-glucocorticoid.; Mechanism of action Dexamethasone is a glucocorticoid agonist. Unbound dexamethasone crosses cell membranes and binds with high affinity to specific cytoplasmic glucocorticoid receptors. This complex binds to DNA elements (glucocorticoid response elements) which results in a modification of transcription and, hence, protein synthesis in order to achieve inhibition of leukocyte infiltration at the site of inflammation, interference in the function of mediators of inflammatory response, suppression of humoral immune responses, and reduction in edema or scar tissue. The antiinflammatory actions of dexamethasone are thought to involve phospholipase A2 inhibitory proteins, lipocortins, which control the biosynthesis of potent mediators of inflammation such as prostaglandins and leukotrienes."
Dexaphen,chlorpheniramine,APIDONE 125ml syrup; DEXAPHEN 120ml syrup; PHENADONE SYRUP 125 ML; VENDEXINE 125ml syrup,"DEXAMETHASONE; Description; An anti-inflammatory 9-fluoro-glucocorticoid.; Mechanism of action Dexamethasone is a glucocorticoid agonist. Unbound dexamethasone crosses cell membranes and binds with high affinity to specific cytoplasmic glucocorticoid receptors. This complex binds to DNA elements (glucocorticoid response elements) which results in a modification of transcription and, hence, protein synthesis in order to achieve inhibition of leukocyte infiltration at the site of inflammation, interference in the function of mediators of inflammatory response, suppression of humoral immune responses, and reduction in edema or scar tissue. The antiinflammatory actions of dexamethasone are thought to involve phospholipase A2 inhibitory proteins, lipocortins, which control the biosynthesis of potent mediators of inflammation such as prostaglandins and leukotrienes."
Blopress,candesartan cilexetil,CANDY 16 mg tabs.; CANDESAR 32mg 7 tab.; CANDESARTAN 8mg tabs.; HOLDISAR 16mg 14 Tab.; CANDESAR 16mg 14 tab.; CANDESAR 4mg 14 tab.; CANDESARTAN 16mg tabs.; CANDEBLOCK 8mg 20 tabs.; CANDALKAN 4mg 14 F.C.tab.; CANDESAR 8mg 14 tab.; GLOBACAND 8mg 28 F.c.tab.; CANDALKAN 8mg 14 F.C. tab.; CANDEBLOCK 16mg 20 tabs.; ALBUSTIX 8 mg 30 tab.; CANDALKAN 16mg 14 F.C. Tab.; CANDEPRESSIN 32mg 20 tab.; ATACAND 4mg 14 tab.; GLOBACAND 16mg 28 F.C.tab.; BLOPRESS 8mg 28 tab.; ATACAND 16mg 14 F.C. Tab.; BLOPRESS 16mg 28 tab.; ATACAND 8mg 28 tab.,"About Candesartan Cilexetil; Angiotensin || Antagonist, Antihypertensive agent; Mechanism of Action of Candesartan Cilexetil; It is a antagonist of angiotensin 2 at AT-1 receptor.It decreases peripheral resistance and lowers BP in hypertensive individuals. It blocks all actions of angiotensin-2 such as 1.Vasoconstriction,2. Central and peripheral sympathetic stimulus,3. Release of aldosterone and adrenaline,4. Salt and water reabsorption ,5.Central actions like thirst,vasopressin release, and growth promoting actions on heart and blood vessals; Indications for Candesartan Cilexetil; Hypertension; Interactions for Candesartan Cilexetil; Diuretics and other antihypertensives: Increased risk of hypotension; Lithium: Increased lithium blood level; NSAID: Decreased antihypertensive effect; Potassium sparing diuretics, Potassium supplements: Increased risk of hyperkalemia"
Trimelasma,fluocinolone,HAYATMEL topical 30gram cream; HYDROTRELON top. 30gm cream; TRIMELASMA TOP. CREAM 30 GM; LASMACURE TOP. CREAM 30 GM,"This is a unique triple-combination topical therapy for the short-term (8-week ) treatment of the dark spots associated with moderate-to-severe facial melasma.; ; 1.Fluocinolone acetonide 0.01% is a mild corticosteroid that reduces inflammation.; ; 2.Hydroquinone 4% is a depigmenting agent that interrupts the formation and synthesis of melanin to help lighten the skin.; ; 3.Tretinoin 0.05% works by increasing the skin cell turnover rate, which helps exfoliate the skin.; ; This Cream should always be used in conjunction with sun-avoidance measures, like using sunscreens and wearing protective clothing. It may improve the appearance of melasma but is not a cure."
Predsol,prednisolone,PREDILONE 5mg 10 tab. (25 strips pack); PREDNISOLONE 5mg 20tab.; ACETASEE 1% eye drops; PREDNIS 5mg/5ml syrup 100 ML; PREDSOL 5mg/5ml 50ml syrup; HOSTACORTIN H 5mg 30 tab.; PREDNISOLONE 1% eye drops 5 ML; PEDICORT 5mg/5ml syp. 100 ML; UNIPRIDOL 5mg/5ml syp. 100 ML; XILONE 5mg/5ml 100ml syrup; ORCHAPRED eye gel 5 ML; ORCHAPRED Eye SUSP. 10 ML; PREDNISOLONE 20mg 20 DISPERSIBLE TABS.; SALCODIN 10mg/ml ophthalmic solution; APICORTE FORTE 1% eye drops; OPTIPRED 10mg/ml eye 5ml susp.; PRED FORTE 1% eye drops 5 ML; PHARMA PRED 1% ophth. susp. 5 ML; PREDSOL FORTE 15mg/5ml 60ml syrup; ECONOPRED PLUS 1% eye drops; EPICOPRED 20mg 10 orodispersible tabs.; UNIPRICOT 20mg 20 tabs.; DISPRELONE-OD 5mg 30 OROdispersable tabs.; PEDICORT FORTE 15mg/5ml syp. 100 ML; UNIPRIDOL FORTE 15mg/5ml syp. 100 ML; XILONE FORTE 15mg/5ml 100ml syrup; SOLUPRED ORO 5 mg 30 orodispersible tab.; DISPRELONE-D 20mg 20 dispersable tabs.; SOLUPRED ORO 20mg 20 orodispersible tabs.; DISPRELONE-OD 20mg 30 OROdispersable tabs.,"About PrednisoloneSSystemic synthetic Glucocorticoid, Immunosuppressant.SMechanism of Action of PrednisoloneSThe drug exerts it`s pharmacological action by penetrating and binding to cytoplasmic receptor protein and causes a structural change in steroid receptor complex. This structural change allows it`s migration in to the nucleus and then binding to specific sites on the DNA which leads to transcription of specific m-RNA and which ultimately regulates protein synthesis. It exerts more selective glucocorticoid action with little mineralocorticoid actions. SThe drug exerts anti-inflammatory and immunosuppressant actions as follows: - 1) Induce lipocortins in macrophages, endothelium, and fibroblasts which inhibits phospholipase A2 and thus decreases the production of Prostaglandins, leukotriens (LT), and platelet activating factor, 2) Causes negative regulation of genes for cytokines in macrophages, endothelial cells and lymphocytes and thus decreases the production of interleukin"
Fusi 2%,fusidic acid,FUCIDIN 2% 10x10cm intertulle; FUCIDIN 2% 10x30cm intertulle; UNISTAFUSIN 2% cream 15 GM; UNISTAFUSIN 2% OINT. 15 GM; FUCIPHAC 20MG/GM CREAM 15 GM; FOSTINO 2% TOPICAL GEL 15 GM; FUCI-TOP 2% cream 15 GM; FUCI-TOP 2% oint. 15 GM; ANESTY TOPICAL GEL 15GM; FUSIDIC ACID 2% gel; FUCIDEL 2% cream 15 GM; FUSI 2% cream 15 GM; FUSIDERM 2% cream 15 GM; FUSIDICTAM 2 % top. cream 30 GM; FUSIDERM 2% gel 15 GM; FUTHALM 1% ophth. susp. 5 ML; OFUSIDIC sterile viscous eye drops; FUCIDIN 2% CREAM 15 GM; FUCIDIN 2% OINTMENT 15 GM; OPTIFUCIN 1% viscous eye drops; FUCIDIN 2% CREAM 20 GM; FUCIDIN 2% OINTMENT 20 GM; FUCITHALMIC 1% viscous eye drops; FUCIDIN 2% CREAM 30 GM; FUCIDIN 2% OINTMENT 30 GM,"About Fusidic acid; A bacteriostatic Steroid Antibiotic, Systemic antibacterial, anti-infective.; Mechanism of Action of Fusidic acid; Fusidic acid is a bactericidal or bacteriostatic drug depending upon the concentration. It inhibits the transfer of aminoacid from aminoacyl sRNA to the protein. This will leads to inhibition of protein synthesis in the bacteria and prevent the growth of microbes.SSIndications for Fusidic acidSPrimary and secondary skin infections S1. Impetigo S2. Erythrasma S3. Folliculitis S4. Sycosis barbae S5. Hidradenitis"
Arcalion Forte,sulbutiamine,EUROBUTAMIN 200mg 20 f.c.tab.; EUROBUTAMIN 400mg scored 15f.c.tab.; YONATONE 200mg 30 tab.; ACTIVATE 200mg 40 sugar coated tab.; CERCOBION 200mg 40 tab.; ARCALION 200mg 40 sugar coated tab.; ARCALION FORTE 400mg 30 F.C.tab.,"About Sulbutiamine; A synthetic derivative of thiamine, a centrally acting cholinergic agent, Nootropic,antiasthenic.; Mechanism of Action of Sulbutiamine; Sulbutiamine is a centrally acting cholinergic agent. This drug inhibits the enzyme Acetyl cholinesterase and prolongs the action of Acetylcholine- a stimulating hormone in the brain. This increased Acetylcholine concentrations are believed to be responsible for the improvement seen during treatment with donepezil.; Sulbutiamine is a thiamine derivative. Being lipophilic it crosses the blood brain barrier and leads to increased formation of thiamine triphosphate which regulates the synaptic transmission of many neurotransmission system.; Indications for Sulbutiamine; 1. Wakefulness; 2. Improve long term memory; 3. Speed up reaction time; 4. Asthenia"
Diamicron MR,gliclazide,GLICLA MR 30 MG 10 TAB.; GLI SR 30 MG 10 tabs.; SERVICLAZID 80mg 10 tab.; DIABETRON 40mg 20 tab.; GLIPICRONE 80mg 20 tab.; DIABYL 80mg 20 tab.; DIANORMAL 80mg 20 tab.; DIABETRON 80mg 20 tab.; DIAMEDIZEN 30mg MR 30 F.C.tab.; GLICLA 80mg 30 tab.; CONTROBETIC 60mg MR 30 F.C.tab.; GLICLAZIDE-SIGMA 80mg 30 tab.; UNOCRON MR 30mg 30 TABS.; DIAMEDIZEN 60mg MR 30 F.C.tab.; DIAMICRON 80mg 20 scored tab.; UNOCRON MR 60mg 30 tabs.; DIAMICRON MR 30mg 30 tab.; DIAMICRON 60mg 30 M.R. tab.,"About Gliclazide; First generation Sulfonylurea, Oral Antidiabetic Agent.; Mechanism of Action of Gliclazide; It is an antidiabetic drug which exerts it`s action by increasing insulin release from the pancreas and by improving glucose tolerance. It acts on the ""sulfonylurea receptors"" on pancreatic ?-cell membrane and reduces conductance of ATP sensitive K+ channels and thus causes depolarization. This enhances Ca2+ influx and degranultion and thus increases insulin secretion rate at any glucose concentration. It primarily increases 2nd phase insulin secretion and has little effect on 1st phase. It also slows hepatic degradation of insulin and minor action of reducing glucagon release and increasing Somatostatin release. It also exerts extrapancreatic action- by sensitizing the target tissues such as liver to insulin action. It increases the number of insulin receptors and through a post receptor action improving translation of receptor activation. It also possesses anti-platelet actio"
Opti-Free,boric acid,OPTI-FREE EXPRESS SOLUTION 120 ML; OPTI-FREE EXPRESS SOLUTION 355 ML,
